"feature_id","gene_symbol","ensembl_gene","custom_annotation"
"chr11:4431089-4432296","OR52P2P","ENSG00000171999","Promoter (<=1kb)"
"chr11:44627884-44628674","RPL34P22","ENSG00000244267","Promoter (<=1kb)"
"chr11:4482128-4483094","OR52K1","ENSG00000196778","Promoter (<=1kb)"
"chr11:45354657-45356144","LINC02696","ENSG00000254427","Promoter (<=1kb)"
"chr11:45771044-45772225","LINC02716","ENSG00000205106","Promoter (<=1kb)"
"chr11:45803859-45805206","SLC35C1","ENSG00000181830","Promoter (<=1kb)"
"chr11:4593917-4595097","OR52I1","ENSG00000232268","Promoter (<=1kb)"
"chr11:46846493-46846758","LRP4-AS1","ENSG00000247675","Promoter (<=1kb)"
"chr11:4703859-4704570","MMP26","ENSG00000167346","Promoter (<=1kb)"
"chr11:5015278-5015993","OR51P1P","ENSG00000224300","Promoter (<=1kb)"
"chr11:5092580-5093532","OR52E3P","ENSG00000226157","Promoter (<=1kb)"
"chr11:5596522-5597235","TRIM6-TRIM34","ENSG00000258588","Promoter (<=1kb)"
"chr11:56331780-56332649","FAM8A2P","ENSG00000254722","Promoter (<=1kb)"
"chr11:5689510-5690705","TRIM22","ENSG00000132274","Promoter (<=1kb)"
"chr11:57044008-57045408","OR5AO1P","ENSG00000272676","Promoter (<=1kb)"
"chr11:57536885-57538015","SMTNL1","ENSG00000214872","Promoter (<=1kb)"
"chr11:57538106-57538390","SMTNL1","ENSG00000214872","Promoter (<=1kb)"
"chr11:57597374-57599023","SERPING1","ENSG00000149131","Promoter (<=1kb)"
"chr11:57637534-57639959",NA,"ENSG00000254602","Promoter (<=1kb)"
"chr11:57668314-57668829","ZDHHC5","ENSG00000156599","Promoter (<=1kb)"
"chr11:58023824-58024563","OR9Q1","ENSG00000186509","Promoter (<=1kb)"
"chr11:58627496-58628423",NA,"ENSG00000280010","Promoter (<=1kb)"
"chr11:5892854-5893481","OR52E5","ENSG00000277932","Promoter (<=1kb)"
"chr11:59142064-59142530","FAM111A-DT","ENSG00000245571","Promoter (<=1kb)"
"chr11:59171494-59171758","DTX4","ENSG00000110042","Promoter (<=1kb)"
"chr11:59510448-59511847","OR4D9","ENSG00000172742","Promoter (<=1kb)"
"chr11:60184760-60185651","MS4A4A","ENSG00000110079","Promoter (<=1kb)"
"chr11:60698758-60699972","MS4A8","ENSG00000166959","Promoter (<=1kb)"
"chr11:60785683-60787593","MS4A10","ENSG00000172689","Promoter (<=1kb)"
"chr11:6107771-6108781","OR56B4","ENSG00000180919","Promoter (<=1kb)"
"chr11:61222330-61223461","PGA4","ENSG00000229183","Promoter (<=1kb)"
"chr11:61480897-61481426","PPP1R32","ENSG00000162148","Promoter (<=1kb)"
"chr11:61949309-61950453","BEST1","ENSG00000167995","Promoter (<=1kb)"
"chr11:62727805-62729012","TTC9C","ENSG00000162222","Promoter (<=1kb)"
"chr11:62771816-62772292","TAF6L","ENSG00000162227","Promoter (<=1kb)"
"chr11:6298643-6298934",NA,"ENSG00000270435","Promoter (<=1kb)"
"chr11:6389694-6390208","SMPD1","ENSG00000166311","Promoter (<=1kb)"
"chr11:63938047-63938519","NAA40","ENSG00000110583","Promoter (<=1kb)"
"chr11:64241250-64241667","FKBP2","ENSG00000173486","Promoter (<=1kb)"
"chr11:6481561-6482347",NA,"ENSG00000283977","Promoter (<=1kb)"
"chr11:6496861-6499149","DNHD1","ENSG00000179532","Promoter (<=1kb)"
"chr11:65261022-65262817",NA,"ENSG00000287821","Promoter (<=1kb)"
"chr11:65333252-65334678","DPF2","ENSG00000133884","Promoter (<=1kb)"
"chr11:65366307-65366835",NA,"ENSG00000255478","Promoter (<=1kb)"
"chr11:65454342-65454638",NA,"ENSG00000173727","Promoter (<=1kb)"
"chr11:65454680-65455732",NA,"ENSG00000173727","Promoter (<=1kb)"
"chr11:65456028-65456254",NA,"ENSG00000173727","Promoter (<=1kb)"
"chr11:65576571-65578075","EHBP1L1","ENSG00000173442","Promoter (<=1kb)"
"chr11:65832823-65834025","SNX32","ENSG00000172803","Promoter (<=1kb)"
"chr11:65879518-65880439","CTSW","ENSG00000172543","Promoter (<=1kb)"
"chr11:65960804-65962421","SART1","ENSG00000175467","Promoter (<=1kb)"
"chr11:65983190-65983836",NA,"ENSG00000254867","Promoter (<=1kb)"
"chr11:66842457-66844192","RCE1","ENSG00000173653","Promoter (<=1kb)"
"chr11:66975124-66977534","C11orf86","ENSG00000173237","Promoter (<=1kb)"
"chr11:67489721-67490338","MIR6752","ENSG00000276769","Promoter (<=1kb)"
"chr11:67583376-67583928","GSTP1","ENSG00000084207","Promoter (<=1kb)"
"chr11:68033484-68034063","MIR4691","ENSG00000284435","Promoter (<=1kb)"
"chr11:68869295-68870915","LINC02701","ENSG00000250508","Promoter (<=1kb)"
"chr11:69001417-69002078",NA,"ENSG00000261625","Promoter (<=1kb)"
"chr11:69002541-69003372",NA,"ENSG00000261625","Promoter (<=1kb)"
"chr11:69012164-69014198","MRGPRF-AS1","ENSG00000256508","Promoter (<=1kb)"
"chr11:69909188-69910594",NA,"ENSG00000260348","Promoter (<=1kb)"
"chr11:69911115-69911687",NA,"ENSG00000260348","Promoter (<=1kb)"
"chr11:69984565-69985309",NA,"ENSG00000255191","Promoter (<=1kb)"
"chr11:71453266-71453861","NADSYN1","ENSG00000172890","Promoter (<=1kb)"
"chr11:71998364-72000112","IL18BP","ENSG00000137496","Promoter (<=1kb)"
"chr11:73265451-73266993","P2RY6","ENSG00000171631","Promoter (<=1kb)"
"chr11:73396293-73396858",NA,"ENSG00000256928","Promoter (<=1kb)"
"chr11:7485073-7486281","OLFML1","ENSG00000183801","Promoter (<=1kb)"
"chr11:75717647-75718998","MOGAT2","ENSG00000166391","Promoter (<=1kb)"
"chr11:7571960-7572214",NA,"ENSG00000254864","Promoter (<=1kb)"
"chr11:75767980-75769736","DGAT2-DT","ENSG00000247867","Promoter (<=1kb)"
"chr11:76781074-76781452","TSKU","ENSG00000182704","Promoter (<=1kb)"
"chr11:77126737-77127919","MYO7A","ENSG00000137474","Promoter (<=1kb)"
"chr11:78063386-78064522","THRSP","ENSG00000151365","Promoter (<=1kb)"
"chr11:78188859-78189348","USP35","ENSG00000118369","Promoter (<=1kb)"
"chr11:796911-798153",NA,"ENSG00000288675","Promoter (<=1kb)"
"chr11:819668-821599","PNPLA2","ENSG00000177666","Promoter (<=1kb)"
"chr11:86244378-86244886","EED","ENSG00000074266","Promoter (<=1kb)"
"chr11:86727115-86727734",NA,"ENSG00000255250","Promoter (<=1kb)"
"chr11:92161174-92161831","RPL7AP57","ENSG00000242248","Promoter (<=1kb)"
"chr11:94185836-94187785",NA,"ENSG00000250519","Promoter (<=1kb)"
"chr11:95088978-95089357","ENDOD1","ENSG00000149218","Promoter (<=1kb)"
"chr11:95149593-95150069",NA,"ENSG00000245552","Promoter (<=1kb)"
"chr11:9572710-9573325","WEE1","ENSG00000166483","Promoter (<=1kb)"
"chr11:9613248-9614375",NA,"ENSG00000289518","Promoter (<=1kb)"
"chr12:101696726-101697067","CHPT1","ENSG00000111666","Promoter (<=1kb)"
"chr12:101935775-101936887",NA,"ENSG00000241917","Promoter (<=1kb)"
"chr12:10212295-10212571","GABARAPL1","ENSG00000139112","Promoter (<=1kb)"
"chr12:104064660-104065108","HCFC2","ENSG00000111727","Promoter (<=1kb)"
"chr12:104177278-104178535",NA,"ENSG00000286258","Promoter (<=1kb)"
"chr12:104643097-104645077",NA,"ENSG00000289557","Promoter (<=1kb)"
"chr12:107317723-107320730","BTBD11","ENSG00000151136","Promoter (<=1kb)"
"chr12:107685021-107686499","PWP1","ENSG00000136045","Promoter (<=1kb)"
"chr12:108563358-108563830","ISCU","ENSG00000136003","Promoter (<=1kb)"
"chr12:108628399-108628920",NA,"ENSG00000257221","Promoter (<=1kb)"
"chr12:109116156-109116957","ACACB","ENSG00000076555","Promoter (<=1kb)"
"chr12:109713444-109714702","FAM222A","ENSG00000139438","Promoter (<=1kb)"
"chr12:111753243-111753970",NA,"ENSG00000257767","Promoter (<=1kb)"
"chr12:112906731-112908315","OAS1","ENSG00000089127","Promoter (<=1kb)"
"chr12:112977680-112979301","OAS2","ENSG00000111335","Promoter (<=1kb)"
"chr12:113862558-113863777",NA,"ENSG00000287229","Promoter (<=1kb)"
"chr12:114546595-114548043",NA,"ENSG00000255830","Promoter (<=1kb)"
"chr12:118136214-118136913","PEBP1","ENSG00000089220","Promoter (<=1kb)"
"chr12:118980676-118981936","SRRM4","ENSG00000139767","Promoter (<=1kb)"
"chr12:119988456-119990627","BICDL1","ENSG00000135127","Promoter (<=1kb)"
"chr12:120533856-120535579","COQ5","ENSG00000110871","Promoter (<=1kb)"
"chr12:121079643-121080358",NA,"ENSG00000256963","Promoter (<=1kb)"
"chr12:121190436-121191022",NA,"ENSG00000274029","Promoter (<=1kb)"
"chr12:121686574-121687734",NA,"ENSG00000286586","Promoter (<=1kb)"
"chr12:122062700-122064787",NA,"ENSG00000256546","Promoter (<=1kb)"
"chr12:122078057-122080403","MLXIP","ENSG00000175727","Promoter (<=1kb)"
"chr12:122773765-122775809","CCDC62","ENSG00000130783","Promoter (<=1kb)"
"chr12:12611147-12612349","CREBL2","ENSG00000111269","Promoter (<=1kb)"
"chr12:130069850-130070786","LINC02419","ENSG00000256906","Promoter (<=1kb)"
"chr12:130338707-130340661","PIWIL1","ENSG00000125207","Promoter (<=1kb)"
"chr12:130953389-130954972","ADGRD1","ENSG00000111452","Promoter (<=1kb)"
"chr12:130989374-130990670",NA,"ENSG00000280002","Promoter (<=1kb)"
"chr12:131163185-131164109","LINC01257","ENSG00000204603","Promoter (<=1kb)"
"chr12:131928441-131930547","PUS1","ENSG00000177192","Promoter (<=1kb)"
"chr12:13195779-13197079","EMP1","ENSG00000134531","Promoter (<=1kb)"
"chr12:132031057-132031592","SNORA49","ENSG00000208892","Promoter (<=1kb)"
"chr12:133181280-133182106","ZNF268","ENSG00000090612","Promoter (<=1kb)"
"chr12:14773676-14774135","H2AJ","ENSG00000246705","Promoter (<=1kb)"
"chr12:1697821-1698532",NA,"ENSG00000271500","Promoter (<=1kb)"
"chr12:27523939-27524898","PPFIBP1","ENSG00000110841","Promoter (<=1kb)"
"chr12:27807048-27807621","RN7SKP15","ENSG00000201612","Promoter (<=1kb)"
"chr12:3041608-3042047",NA,"ENSG00000250899","Promoter (<=1kb)"
"chr12:3076631-3078031","TSPAN9","ENSG00000011105","Promoter (<=1kb)"
"chr12:31074057-31075013","DDX11","ENSG00000013573","Promoter (<=1kb)"
"chr12:31646820-31647660","ETFBKMT","ENSG00000139160","Promoter (<=1kb)"
"chr12:3380484-3381855","PRMT8","ENSG00000111218","Promoter (<=1kb)"
"chr12:38316517-38317322","ALG10B","ENSG00000175548","Promoter (<=1kb)"
"chr12:40692007-40693883","CNTN1","ENSG00000018236","Promoter (<=1kb)"
"chr12:41187995-41189327","PDZRN4","ENSG00000165966","Promoter (<=1kb)"
"chr12:45164614-45166530",NA,"ENSG00000287386","Promoter (<=1kb)"
"chr12:47706251-47707020","RPAP3-DT","ENSG00000257433","Promoter (<=1kb)"
"chr12:4909288-4911937",NA,"ENSG00000256654","Promoter (<=1kb)"
"chr12:49539696-49539897","KCNH3","ENSG00000135519","Promoter (<=1kb)"
"chr12:50084506-50084854","SMARCD1","ENSG00000066117","Promoter (<=1kb)"
"chr12:52022829-52024236","NR4A1","ENSG00000123358","Promoter (<=1kb)"
"chr12:52079595-52080223","SMIM41","ENSG00000284791","Promoter (<=1kb)"
"chr12:53096394-53096758","IGFBP6","ENSG00000167779","Promoter (<=1kb)"
"chr12:53251541-53252866","MFSD5","ENSG00000182544","Promoter (<=1kb)"
"chr12:53500435-53501047","TARBP2","ENSG00000139546","Promoter (<=1kb)"
"chr12:54019616-54020602",NA,"ENSG00000260597","Promoter (<=1kb)"
"chr12:54427549-54429203","LINC01154","ENSG00000257477","Promoter (<=1kb)"
"chr12:54497221-54498309","NCKAP1L","ENSG00000123338","Promoter (<=1kb)"
"chr12:54498336-54498601","NCKAP1L","ENSG00000123338","Promoter (<=1kb)"
"chr12:54498628-54498864","NCKAP1L","ENSG00000123338","Promoter (<=1kb)"
"chr12:57512671-57513056","MIR6758","ENSG00000284152","Promoter (<=1kb)"
"chr12:57782214-57783530","TSFM","ENSG00000123297","Promoter (<=1kb)"
"chr12:59595596-59597854","SLC16A7","ENSG00000118596","Promoter (<=1kb)"
"chr12:63779351-63779956","RXYLT1","ENSG00000118600","Promoter (<=1kb)"
"chr12:64452915-64453198","TBK1","ENSG00000183735","Promoter (<=1kb)"
"chr12:6534562-6535450","GAPDH","ENSG00000111640","Promoter (<=1kb)"
"chr12:66188640-66189925","IRAK3","ENSG00000090376","Promoter (<=1kb)"
"chr12:6786472-6787053","CD4","ENSG00000010610","Promoter (<=1kb)"
"chr12:6828045-6829839","P3H3","ENSG00000110811","Promoter (<=1kb)"
"chr12:69238812-69239350","CPSF6","ENSG00000111605","Promoter (<=1kb)"
"chr12:69329786-69332217",NA,"ENSG00000274979","Promoter (<=1kb)"
"chr12:69354515-69355122",NA,"ENSG00000257764","Promoter (<=1kb)"
"chr12:69585261-69586026","CCT2","ENSG00000166226","Promoter (<=1kb)"
"chr12:70243541-70244348","CNOT2","ENSG00000111596","Promoter (<=1kb)"
"chr12:74537303-74537573","ATXN7L3B","ENSG00000253719","Promoter (<=1kb)"
"chr12:75334367-75335081",NA,"ENSG00000273987","Promoter (<=1kb)"
"chr12:75479821-75480570","GLIPR1","ENSG00000139278","Promoter (<=1kb)"
"chr12:80761443-80762488","LINC01490","ENSG00000257741","Promoter (<=1kb)"
"chr12:8123165-8124410","CLEC4A","ENSG00000111729","Promoter (<=1kb)"
"chr12:89752837-89753848","MRPL2P1","ENSG00000257480","Promoter (<=1kb)"
"chr12:90575016-90576498","LINC02822","ENSG00000286021","Promoter (<=1kb)"
"chr12:92466295-92467467","LINC02397","ENSG00000205056","Promoter (<=1kb)"
"chr12:9317031-9317586",NA,"ENSG00000255753","Promoter (<=1kb)"
"chr12:94560529-94561550","MIR5700","ENSG00000266099","Promoter (<=1kb)"
"chr12:94834547-94835222","KRT19P2","ENSG00000216306","Promoter (<=1kb)"
"chr12:95943152-95943903","AMDHD1","ENSG00000139344","Promoter (<=1kb)"
"chr12:96485140-96485664",NA,"ENSG00000258272","Promoter (<=1kb)"
"chr13:102596181-102596644","TPP2","ENSG00000134900","Promoter (<=1kb)"
"chr13:108335624-108336354",NA,"ENSG00000283384","Promoter (<=1kb)"
"chr13:109281695-109282477","LINC00370","ENSG00000223617","Promoter (<=1kb)"
"chr13:111315313-111316147","TEX29","ENSG00000153495","Promoter (<=1kb)"
"chr13:111595301-111596730","LINC02337","ENSG00000215881","Promoter (<=1kb)"
"chr13:112375829-112376620","SPACA7","ENSG00000153498","Promoter (<=1kb)"
"chr13:113815462-113816379","GAS6-AS1","ENSG00000233695","Promoter (<=1kb)"
"chr13:18905314-18907032","LINC00408","ENSG00000226250","Promoter (<=1kb)"
"chr13:23180792-23181071","SGCG","ENSG00000102683","Promoter (<=1kb)"
"chr13:24746380-24748140",NA,"ENSG00000287887","Promoter (<=1kb)"
"chr13:25140921-25142038",NA,"ENSG00000279695","Promoter (<=1kb)"
"chr13:25862921-25863917",NA,"ENSG00000180803","Promoter (<=1kb)"
"chr13:27620828-27622403","POLR1D","ENSG00000186184","Promoter (<=1kb)"
"chr13:27919775-27922358","PDX1","ENSG00000139515","Promoter (<=1kb)"
"chr13:28658417-28659970",NA,"ENSG00000289569","Promoter (<=1kb)"
"chr13:29934832-29936688","LINC00544","ENSG00000122043","Promoter (<=1kb)"
"chr13:32585590-32586149","PDS5B","ENSG00000083642","Promoter (<=1kb)"
"chr13:32586556-32587433","PDS5B","ENSG00000083642","Promoter (<=1kb)"
"chr13:41133000-41133253",NA,"ENSG00000278390","Promoter (<=1kb)"
"chr13:41955706-41956001","VWA8-AS1","ENSG00000278338","Promoter (<=1kb)"
"chr13:43157774-43158573","LINC00400","ENSG00000229928","Promoter (<=1kb)"
"chr13:46052929-46053214","CPB2-AS1","ENSG00000235903","Promoter (<=1kb)"
"chr13:48037253-48037851","NUDT15","ENSG00000136159","Promoter (<=1kb)"
"chr13:49628973-49629741","ARL11","ENSG00000152213","Promoter (<=1kb)"
"chr13:50909908-50910852","RNASEH2B-AS1","ENSG00000233672","Promoter (<=1kb)"
"chr13:52652973-52653335","SUGT1","ENSG00000165416","Promoter (<=1kb)"
"chr13:60396301-60397291","TDRD3","ENSG00000083544","Promoter (<=1kb)"
"chr13:70107138-70108325","ATXN8OS","ENSG00000230223","Promoter (<=1kb)"
"chr13:94601261-94601630","GPR180","ENSG00000152749","Promoter (<=1kb)"
"chr13:96089991-96091963","HS6ST3","ENSG00000185352","Promoter (<=1kb)"
"chr13:97222385-97222790","MBNL2","ENSG00000139793","Promoter (<=1kb)"
"chr13:99372023-99372306","HMGB3P4","ENSG00000228808","Promoter (<=1kb)"
"chr14:100321721-100322608","SLC25A47","ENSG00000140107","Promoter (<=1kb)"
"chr14:100679502-100680362",NA,"ENSG00000258717","Promoter (<=1kb)"
"chr14:100684058-100684619",NA,"ENSG00000289278","Promoter (<=1kb)"
"chr14:100778097-100779975","MEG3","ENSG00000214548","Promoter (<=1kb)"
"chr14:100850871-100852930","MIR770","ENSG00000211574","Promoter (<=1kb)"
"chr14:101054446-101055409","MIR134","ENSG00000207993","Promoter (<=1kb)"
"chr14:102592312-102593895","RCOR1","ENSG00000089902","Promoter (<=1kb)"
"chr14:103093597-103095061","EXOC3L4","ENSG00000205436","Promoter (<=1kb)"
"chr14:103118083-103118392",NA,"ENSG00000288610","Promoter (<=1kb)"
"chr14:103118820-103119388",NA,"ENSG00000288610","Promoter (<=1kb)"
"chr14:103684009-103684874",NA,"ENSG00000246451","Promoter (<=1kb)"
"chr14:104579246-104579939","C14orf180","ENSG00000184601","Promoter (<=1kb)"
"chr14:104821157-104821760","LINC00638","ENSG00000258701","Promoter (<=1kb)"
"chr14:104842913-104845940",NA,"ENSG00000258811","Promoter (<=1kb)"
"chr14:105473579-105475465","CRIP2","ENSG00000182809","Promoter (<=1kb)"
"chr14:105900520-105901788","IGHD1-14","ENSG00000227108","Promoter (<=1kb)"
"chr14:105939602-105940455","IGHV6-1","ENSG00000211933","Promoter (<=1kb)"
"chr14:106345143-106345504","IGHV3-30-2","ENSG00000253587","Promoter (<=1kb)"
"chr14:106373016-106373690","IGHV4-34","ENSG00000211956","Promoter (<=1kb)"
"chr14:106442575-106443414","IGHV3-41","ENSG00000278473","Promoter (<=1kb)"
"chr14:106600656-106601699","IGHV3-54","ENSG00000275475","Promoter (<=1kb)"
"chr14:106626845-106627285","IGHV4-59","ENSG00000224373","Promoter (<=1kb)"
"chr14:19061506-19062768","DUXAP9","ENSG00000225210","Promoter (<=1kb)"
"chr14:19873113-19874284","OR4K2","ENSG00000165762","Promoter (<=1kb)"
"chr14:19907372-19908193",NA,"ENSG00000259016","Promoter (<=1kb)"
"chr14:20477012-20478241",NA,"ENSG00000258908","Promoter (<=1kb)"
"chr14:20780641-20781449","RNASE6","ENSG00000169413","Promoter (<=1kb)"
"chr14:20918857-20920023","RNASE2CP","ENSG00000136315","Promoter (<=1kb)"
"chr14:22524042-22524440","TRAJ20","ENSG00000211869","Promoter (<=1kb)"
"chr14:22536758-22538336","TRAJ7","ENSG00000211882","Promoter (<=1kb)"
"chr14:22555388-22557479",NA,"ENSG00000259003","Promoter (<=1kb)"
"chr14:22597622-22599151","ABHD4","ENSG00000100439","Promoter (<=1kb)"
"chr14:23953547-23954564","DHRS4","ENSG00000157326","Promoter (<=1kb)"
"chr14:24429794-24431149","CBLN3","ENSG00000139899","Promoter (<=1kb)"
"chr14:30558972-30560081","G2E3","ENSG00000092140","Promoter (<=1kb)"
"chr14:31419720-31420769","HEATR5A-DT","ENSG00000250365","Promoter (<=1kb)"
"chr14:31489686-31490098","NUBPL","ENSG00000151413","Promoter (<=1kb)"
"chr14:31929307-31930798",NA,"ENSG00000257472","Promoter (<=1kb)"
"chr14:32006113-32007156",NA,"ENSG00000258386","Promoter (<=1kb)"
"chr14:32484001-32485199","MTCO1P2","ENSG00000259045","Promoter (<=1kb)"
"chr14:35880932-35881901",NA,"ENSG00000257307","Promoter (<=1kb)"
"chr14:39113793-39114096","GEMIN2","ENSG00000092208","Promoter (<=1kb)"
"chr14:39228940-39229948","MIA2","ENSG00000150527","Promoter (<=1kb)"
"chr14:39432797-39433059",NA,"ENSG00000258526","Promoter (<=1kb)"
"chr14:43274789-43275854","TUBBP3","ENSG00000258406","Promoter (<=1kb)"
"chr14:49892305-49894054","ARF6","ENSG00000165527","Promoter (<=1kb)"
"chr14:51333845-51334847","LINC00640","ENSG00000258479","Promoter (<=1kb)"
"chr14:51988769-51989324","RTRAF","ENSG00000087302","Promoter (<=1kb)"
"chr14:55281995-55282731",NA,"ENSG00000239686","Promoter (<=1kb)"
"chr14:56487380-56488296","TMEM260","ENSG00000070269","Promoter (<=1kb)"
"chr14:59187807-59188730","DAAM1","ENSG00000100592","Promoter (<=1kb)"
"chr14:60323076-60324151","LINC02322","ENSG00000258556","Promoter (<=1kb)"
"chr14:61186729-61187177","PRKCH","ENSG00000027075","Promoter (<=1kb)"
"chr14:63204008-63205292","RHOJ","ENSG00000126785","Promoter (<=1kb)"
"chr14:64703843-64706044","PLEKHG3","ENSG00000126822","Promoter (<=1kb)"
"chr14:64913752-64915255","CHURC1","ENSG00000258289","Promoter (<=1kb)"
"chr14:64986658-64987663","FNTB","ENSG00000257365","Promoter (<=1kb)"
"chr14:65469520-65471269","MIR625","ENSG00000207781","Promoter (<=1kb)"
"chr14:67735153-67736066",NA,"ENSG00000271697","Promoter (<=1kb)"
"chr14:69726281-69728378","SRSF5","ENSG00000100650","Promoter (<=1kb)"
"chr14:70186677-70187177",NA,"ENSG00000258422","Promoter (<=1kb)"
"chr14:72544542-72545141",NA,"ENSG00000286333","Promoter (<=1kb)"
"chr14:75268857-75269775",NA,"ENSG00000258740","Promoter (<=1kb)"
"chr14:75276997-75278636","FOS","ENSG00000170345","Promoter (<=1kb)"
"chr14:76235552-76236481",NA,"ENSG00000258454","Promoter (<=1kb)"
"chr14:80954823-80956049","TSHR","ENSG00000165409","Promoter (<=1kb)"
"chr14:88158906-88159735",NA,"ENSG00000258975","Promoter (<=1kb)"
"chr14:88823990-88824496","TTC8","ENSG00000165533","Promoter (<=1kb)"
"chr14:89955067-89955735","TDP1","ENSG00000042088","Promoter (<=1kb)"
"chr14:90490675-90492470",NA,"ENSG00000259789","Promoter (<=1kb)"
"chr14:94026552-94027091","OTUB2","ENSG00000089723","Promoter (<=1kb)"
"chr14:94559689-94561340","SERPINA4","ENSG00000100665","Promoter (<=1kb)"
"chr14:94612242-94612962","SERPINA3","ENSG00000196136","Promoter (<=1kb)"
"chr14:95649271-95650422","TCL6","ENSG00000187621","Promoter (<=1kb)"
"chr14:95711518-95712443",NA,"ENSG00000257275","Promoter (<=1kb)"
"chr14:96391030-96391711","AK7","ENSG00000140057","Promoter (<=1kb)"
"chr14:96391785-96392491","AK7","ENSG00000140057","Promoter (<=1kb)"
"chr14:96592299-96593692",NA,"ENSG00000258702","Promoter (<=1kb)"
"chr14:96663060-96663799",NA,"ENSG00000287350","Promoter (<=1kb)"
"chr14:96796860-96797160","VRK1","ENSG00000100749","Promoter (<=1kb)"
"chr14:96797468-96798245","VRK1","ENSG00000100749","Promoter (<=1kb)"
"chr14:99604246-99605131",NA,"ENSG00000247970","Promoter (<=1kb)"
"chr15:100560412-100560886","RNU6-181P","ENSG00000200095","Promoter (<=1kb)"
"chr15:100715386-100716553",NA,"ENSG00000259579","Promoter (<=1kb)"
"chr15:100716578-100717095",NA,"ENSG00000259579","Promoter (<=1kb)"
"chr15:20002684-20004013","IGHD5OR15-5A","ENSG00000270961","Promoter (<=1kb)"
"chr15:20596763-20598257","SPATA31E2P","ENSG00000258916","Promoter (<=1kb)"
"chr15:21009508-21010537","IGHD5OR15-5B","ENSG00000270824","Promoter (<=1kb)"
"chr15:21079001-21081328","BCAR1P2","ENSG00000258771","Promoter (<=1kb)"
"chr15:22664057-22665325","WHAMMP3","ENSG00000276141","Promoter (<=1kb)"
"chr15:23565365-23567417","MKRN3","ENSG00000179455","Promoter (<=1kb)"
"chr15:24984646-24985756","PWAR5","ENSG00000279192","Promoter (<=1kb)"
"chr15:26051872-26052667",NA,"ENSG00000258931","Promoter (<=1kb)"
"chr15:28737239-28738595","WHAMMP2","ENSG00000248334","Promoter (<=1kb)"
"chr15:29664172-29665593",NA,"ENSG00000287334","Promoter (<=1kb)"
"chr15:30470658-30471796",NA,"ENSG00000215302","Promoter (<=1kb)"
"chr15:34102177-34102850","PGBD4","ENSG00000182405","Promoter (<=1kb)"
"chr15:36578996-36579487","CDIN1","ENSG00000186073","Promoter (<=1kb)"
"chr15:37979201-37980628","LINC02345","ENSG00000259225","Promoter (<=1kb)"
"chr15:38626462-38627334","LINC02694","ENSG00000175779","Promoter (<=1kb)"
"chr15:39782422-39783226",NA,"ENSG00000261136","Promoter (<=1kb)"
"chr15:40217043-40217970","PAK6","ENSG00000137843","Promoter (<=1kb)"
"chr15:40322865-40324858","INAFM2","ENSG00000259330","Promoter (<=1kb)"
"chr15:40382247-40382706","KNSTRN","ENSG00000128944","Promoter (<=1kb)"
"chr15:40405256-40405512","IVD","ENSG00000128928","Promoter (<=1kb)"
"chr15:40568959-40570044","RPUSD2","ENSG00000166133","Promoter (<=1kb)"
"chr15:40593763-40594962","KNL1","ENSG00000137812","Promoter (<=1kb)"
"chr15:40905719-40907255",NA,"ENSG00000251161","Promoter (<=1kb)"
"chr15:40907302-40907793",NA,"ENSG00000251161","Promoter (<=1kb)"
"chr15:41557645-41558161","TYRO3","ENSG00000092445","Promoter (<=1kb)"
"chr15:41921118-41921582","EHD4-AS1","ENSG00000259883","Promoter (<=1kb)"
"chr15:42313492-42313990","BNIP3P5","ENSG00000260571","Promoter (<=1kb)"
"chr15:44537229-44537870","EIF3J","ENSG00000104131","Promoter (<=1kb)"
"chr15:44712284-44713029","B2M","ENSG00000166710","Promoter (<=1kb)"
"chr15:44956471-44957202","TERB2","ENSG00000167014","Promoter (<=1kb)"
"chr15:49422974-49423472","FGF7","ENSG00000140285","Promoter (<=1kb)"
"chr15:52045492-52046336",NA,"ENSG00000289025","Promoter (<=1kb)"
"chr15:57299666-57300437","LINC00926","ENSG00000247982","Promoter (<=1kb)"
"chr15:59595407-59596936","GCNT3","ENSG00000140297","Promoter (<=1kb)"
"chr15:63090935-63091458",NA,"ENSG00000259672","Promoter (<=1kb)"
"chr15:63596739-63597730","FBXL22","ENSG00000197361","Promoter (<=1kb)"
"chr15:65049361-65050244",NA,"ENSG00000277351","Promoter (<=1kb)"
"chr15:65529864-65531292","HACD3","ENSG00000074696","Promoter (<=1kb)"
"chr15:69755261-69755969",NA,"ENSG00000289525","Promoter (<=1kb)"
"chr15:75195407-75196417","C15orf39","ENSG00000167173","Promoter (<=1kb)"
"chr15:75723536-75724535","ODF3L1","ENSG00000182950","Promoter (<=1kb)"
"chr15:75842384-75844314","UBE2Q2","ENSG00000140367","Promoter (<=1kb)"
"chr15:77420807-77421372","HMG20A","ENSG00000140382","Promoter (<=1kb)"
"chr15:77568990-77570149",NA,"ENSG00000259420","Promoter (<=1kb)"
"chr15:78506859-78508347","HYKK","ENSG00000188266","Promoter (<=1kb)"
"chr15:79922668-79924327","ST20-AS1","ENSG00000259642","Promoter (<=1kb)"
"chr15:80679472-80680085","ABHD17C","ENSG00000136379","Promoter (<=1kb)"
"chr15:82112062-82112650",NA,"ENSG00000287872","Promoter (<=1kb)"
