"Cluster","EdgeBetweenness","interaction","modality","name","Peak_chr","Peak_end","Peak_start","regulator_id","selected","shared interaction","shared name","site","source","strand","Target_gene_id","target_id","TF_id","tissue","Weight"
"8","1036538.18928577","regulates","EE","NFIC (regulates) ENSG00000226281.5","",,,"P08651_S305s","false","regulates","NFIC (regulates) ENSG00000226281.5","S305s","SCION","","","ENSG00000226281.5","","muscle","0.100607709197458"
"8","75690.12819548685","regulates","EE","NFIC (regulates) CCNL2","",,,"P08651_S305s","false","regulates","NFIC (regulates) CCNL2","S305s","SCION","","","ENSG00000221978.13","","muscle","0.177855403657907"
"8","16815.409199135207","regulates","EE","NFIC (regulates) LINC01341","",,,"P08651_S305s","false","regulates","NFIC (regulates) LINC01341","S305s","SCION","","","ENSG00000227953.7","","muscle","0.138522821129651"
"9","60523.25714285856","regulates","RE","TFEB (regulates) IMP3","",,,"P19484_S423s","false","regulates","TFEB (regulates) IMP3","S423s","SCION","","","ENSG00000177971.9","","muscle","0.120600176027392"
"8","370233.81300365384","regulates","EE","NFIC (regulates) LINC01359","",,,"P08651_S333sS339s","false","regulates","NFIC (regulates) LINC01359","S333sS339s","SCION","","","ENSG00000226891.9","","muscle","0.118352868583331"
"8","10525.963333332866","regulates","EE","NFIC (regulates) NUTM2E","",,,"P08651_S333sS339s","false","regulates","NFIC (regulates) NUTM2E","S333sS339s","SCION","","","ENSG00000228570.8","","muscle","0.163205965995923"
"8","188268.35054112936","regulates","EE","NFIC (regulates) ENSG00000228327.4","",,,"P08651_S333s","false","regulates","NFIC (regulates) ENSG00000228327.4","S333s","SCION","","","ENSG00000228327.4","","muscle","0.162908921142576"
"9","92102.69999999928","regulates","RE","TFEB (regulates) ALS2CL","",,,"P19484_S114s","false","regulates","TFEB (regulates) ALS2CL","S114s","SCION","","","ENSG00000178038.17","","muscle","0.102209705663024"
"9","107477.91666666234","regulates","RE","TFEB (regulates) ARID3B","",,,"P19484_S109sS114s","false","regulates","TFEB (regulates) ARID3B","S109sS114s","SCION","","","ENSG00000179361.18","","muscle","0.13391854221868"
"8","281676.2024892112","regulates","EE","NFIC (regulates) LINC01137","",,,"P08651_S333sS339s","false","regulates","NFIC (regulates) LINC01137","S333sS339s","SCION","","","ENSG00000233621.3","","muscle","0.104008765176083"
"11","501396.95216449694","regulates","EE","MEF2A (regulates) HNRNPK","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) HNRNPK","S98s","SCION","","","ENSG00000165119.21","","muscle","0.147614247341002"
"8","358072.3083333444","regulates","EE","NFIC (regulates) KANTR","",,,"P08651_S333s","false","regulates","NFIC (regulates) KANTR","S333s","SCION","","","ENSG00000232593.7","","muscle","0.104938904254516"
"9","32207.833333332295","regulates","RE","TFEB (regulates) ZNF594","",,,"P19484_S109sS114s","false","regulates","TFEB (regulates) ZNF594","S109sS114s","SCION","","","ENSG00000180626.10","","muscle","0.158474607851565"
"8","136637.73049450602","regulates","EE","NFIC (regulates) ZNF37BP","",,,"P08651_S305s","false","regulates","NFIC (regulates) ZNF37BP","S305s","SCION","","","ENSG00000234420.8","","muscle","0.181967151609312"
"11","15338.488419914105","regulates","EE","MEF2A (regulates) ORC5","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) ORC5","S98sT108t","SCION","","","ENSG00000164815.11","","muscle","0.116369892172476"
"8","1126618.3812027597","regulates","EE","NFIC (regulates) ENSG00000234338.1","",,,"P08651_S333sS339s","false","regulates","NFIC (regulates) ENSG00000234338.1","S333sS339s","SCION","","","ENSG00000234338.1","","muscle","0.102195287704256"
"8","270879.4119214057","regulates","EE","NFIC (regulates) ENSG00000237094.12","",,,"P08651_S333s","false","regulates","NFIC (regulates) ENSG00000237094.12","S333s","SCION","","","ENSG00000237094.12","","muscle","0.120935578558468"
"8","348947.62177623133","regulates","EE","NFIC (regulates) ZNF736","",,,"P08651_S333s","false","regulates","NFIC (regulates) ZNF736","S333s","SCION","","","ENSG00000234444.10","","muscle","0.119831956088113"
"9","72536.76941391353","regulates","RE","TFEB (regulates) SGSH","",,,"P19484_S109sS114s","false","regulates","TFEB (regulates) SGSH","S109sS114s","SCION","","","ENSG00000181523.13","","muscle","0.103187312794929"
"8","41833.28406593605","regulates","EE","NFIC (regulates) SCARNA7","",,,"P08651_S333sS339s","false","regulates","NFIC (regulates) SCARNA7","S333sS339s","SCION","","","ENSG00000238741.1","","muscle","0.164545135993817"
"11","5345.0","regulates","EE","MEF2A (regulates) OTUD1","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) OTUD1","S98s","SCION","","","ENSG00000165312.7","","muscle","0.262877392387372"
"8","182671.37546898512","regulates","EE","NFIC (regulates) ENSG00000238035.8","",,,"P08651_S305s","false","regulates","NFIC (regulates) ENSG00000238035.8","S305s","SCION","","","ENSG00000238035.8","","muscle","0.142906452171972"
"9","127623.46031746209","regulates","RE","TFEB (regulates) ZNF678","",,,"P19484_S109sS114s","false","regulates","TFEB (regulates) ZNF678","S109sS114s","SCION","","","ENSG00000181450.18","","muscle","0.196128821484139"
"11","6355.771428571436","regulates","EE","MEF2A (regulates) SPTSSA","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) SPTSSA","S98sT108t","SCION","","","ENSG00000165389.7","","muscle","0.140460679281799"
"8","21533.506818180358","regulates","EE","NFIC (regulates) ITIH4-AS1","",,,"P08651_S333s","false","regulates","NFIC (regulates) ITIH4-AS1","S333s","SCION","","","ENSG00000239799.1","","muscle","0.104099494445002"
"8","228921.24166666114","regulates","EE","NFIC (regulates) LINC01119","",,,"P08651_S305s","false","regulates","NFIC (regulates) LINC01119","S305s","SCION","","","ENSG00000239332.7","","muscle","0.116374627303282"
"9","61336.57886002685","regulates","RE","TFEB (regulates) SF3A3","",,,"P19484_S109sS114s","false","regulates","TFEB (regulates) SF3A3","S109sS114s","SCION","","","ENSG00000183431.12","","muscle","0.117356136020395"
"8","322961.251317159","regulates","EE","NFIC (regulates) LY6G5B","",,,"P08651_S305s","false","regulates","NFIC (regulates) LY6G5B","S305s","SCION","","","ENSG00000240053.8","","muscle","0.114069327654363"
"8","448117.3769517961","regulates","EE","NFIC (regulates) AMY2B","",,,"P08651_S305s","false","regulates","NFIC (regulates) AMY2B","S305s","SCION","","","ENSG00000240038.7","","muscle","0.106342227974818"
"9","86029.24166666987","regulates","RE","TFEB (regulates) MUC6","",,,"P19484_S109sS114s","false","regulates","TFEB (regulates) MUC6","S109sS114s","SCION","","","ENSG00000184956.16","","muscle","0.168621790739201"
"8","42413.601491806745","regulates","EE","NFIC (regulates) C1QTNF9","",,,"P08651_S333sS339s","false","regulates","NFIC (regulates) C1QTNF9","S333sS339s","SCION","","","ENSG00000240654.6","","muscle","0.117264964374741"
"9","85820.4500000011","regulates","RE","TFEB (regulates) C22orf46","",,,"P19484_S109sS114s","false","regulates","TFEB (regulates) C22orf46","S109sS114s","SCION","","","ENSG00000184208.12","","muscle","0.10731724774012"
"8","1209707.0","regulates","EE","NFIC (regulates) AQP1","",,,"P08651_S333sS339s","false","regulates","NFIC (regulates) AQP1","S333sS339s","SCION","","","ENSG00000240583.14","","muscle","0.117439772111188"
"8","56255.00396825244","regulates","EE","NFIC (regulates) AMACR","",,,"P08651_S333sS339s","false","regulates","NFIC (regulates) AMACR","S333sS339s","SCION","","","ENSG00000242110.8","","muscle","0.100858629359967"
"8","1095602.3833334113","regulates","EE","NFIC (regulates) EGFL8","",,,"P08651_S333sS339s","false","regulates","NFIC (regulates) EGFL8","S333sS339s","SCION","","","ENSG00000241404.7","","muscle","0.132731449395074"
"9","45008.49999999802","regulates","RE","TFEB (regulates) ZBTB3","",,,"P19484_S114sS122s","false","regulates","TFEB (regulates) ZBTB3","S114sS122s","SCION","","","ENSG00000185670.9","","muscle","0.115430361136299"
"8","34793.6282967014","regulates","EE","NFIC (regulates) RAD51-AS1","",,,"P08651_S305s","false","regulates","NFIC (regulates) RAD51-AS1","S305s","SCION","","","ENSG00000245849.8","","muscle","0.170242409668501"
"9","111800.57179487801","regulates","RE","TFEB (regulates) SETD4","",,,"P19484_S109sS114s","false","regulates","TFEB (regulates) SETD4","S109sS114s","SCION","","","ENSG00000185917.14","","muscle","0.101596197942326"
"8","288777.50223116897","regulates","EE","NFIC (regulates) STAG3L5P","",,,"P08651_S333s","false","regulates","NFIC (regulates) STAG3L5P","S333s","SCION","","","ENSG00000242294.6","","muscle","0.111090384991347"
"9","92785.64999999966","regulates","RE","TFEB (regulates) BLOC1S5","",,,"P19484_S109sS114s","false","regulates","TFEB (regulates) BLOC1S5","S109sS114s","SCION","","","ENSG00000188428.20","","muscle","0.134525465011579"
"8","399472.75222159567","regulates","EE","NFIC (regulates) MIR210HG","",,,"P08651_S333sS339s","false","regulates","NFIC (regulates) MIR210HG","S333sS339s","SCION","","","ENSG00000247095.4","","muscle","0.123247278089224"
"9","46346.833333333605","regulates","RE","TFEB (regulates) FOXD3","",,,"P19484_S114sS122s","false","regulates","TFEB (regulates) FOXD3","S114sS122s","SCION","","","ENSG00000187140.6","","muscle","0.107118521480815"
"8","352309.2285714284","regulates","EE","NFIC (regulates) PICART1","",,,"P08651_S305s","false","regulates","NFIC (regulates) PICART1","S305s","SCION","","","ENSG00000246640.2","","muscle","0.104701381068891"
"8","1092581.0166667625","regulates","EE","NFIC (regulates) SEMA6A-AS1","",,,"P08651_S333sS339s","false","regulates","NFIC (regulates) SEMA6A-AS1","S333sS339s","SCION","","","ENSG00000248445.5","","muscle","0.107143130227761"
"9","30961.833333333732","regulates","RE","TFEB (regulates) KCTD21","",,,"P19484_S109sS114s","false","regulates","TFEB (regulates) KCTD21","S109sS114s","SCION","","","ENSG00000188997.8","","muscle","0.152342844394882"
"11","249279.88291925364","regulates","EE","MEF2A (regulates) TRIM8","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) TRIM8","S98sT108t","SCION","","","ENSG00000171206.15","","muscle","0.124457409975839"
"8","42252.85105041738","regulates","EE","NFIC (regulates) FAM13A-AS1","",,,"P08651_S305s","false","regulates","NFIC (regulates) FAM13A-AS1","S305s","SCION","","","ENSG00000248019.3","","muscle","0.141633266543086"
"9","109047.36050420768","regulates","RE","TFEB (regulates) MSANTD1","",,,"P19484_S109sS114s","false","regulates","TFEB (regulates) MSANTD1","S109sS114s","SCION","","","ENSG00000188981.11","","muscle","0.313553512703314"
"8","545172.8424243126","regulates","EE","NFIC (regulates) HAUS5","",,,"P08651_S333s","false","regulates","NFIC (regulates) HAUS5","S333s","SCION","","","ENSG00000249115.9","","muscle","0.13638623829675"
"9","127623.46031746209","regulates","RE","TFEB (regulates) ZNF766","",,,"P19484_S109sS114s","false","regulates","TFEB (regulates) ZNF766","S109sS114s","SCION","","","ENSG00000196214.11","","muscle","0.122276403143153"
"8","49124.76883116434","regulates","EE","TFEB (regulates) RASSF10","",,,"P19484_S109sS114s","false","regulates","TFEB (regulates) RASSF10","S109sS114s","SCION","","","ENSG00000189431.8","","muscle","0.542986763002912"
"8","311256.4446914822","regulates","EE","NFIC (regulates) MTATP6P1","",,,"P08651_S333s","false","regulates","NFIC (regulates) MTATP6P1","S333s","SCION","","","ENSG00000248527.1","","muscle","0.106808086614371"
"11","504155.3561327399","regulates","EE","MEF2A (regulates) TMEM126B","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) TMEM126B","S98sT108t","SCION","","","ENSG00000171204.13","","muscle","0.151066047394439"
"9","48114.66984127324","regulates","RE","TFEB (regulates) EPHB4","",,,"P19484_S114sS122s","false","regulates","TFEB (regulates) EPHB4","S114sS122s","SCION","","","ENSG00000196411.10","","muscle","0.254478305280453"
"8","54429.90562770498","regulates","EE","NFIC (regulates) SELENOP","",,,"P08651_S333sS339s","false","regulates","NFIC (regulates) SELENOP","S333sS339s","SCION","","","ENSG00000250722.6","","muscle","0.133769336248707"
"8","305820.1164032233","regulates","EE","NFIC (regulates) ENSG00000250575.1","",,,"P08651_S333s","false","regulates","NFIC (regulates) ENSG00000250575.1","S333s","SCION","","","ENSG00000250575.1","","muscle","0.125503430515262"
"9","34351.10000000088","regulates","RE","TFEB (regulates) ZNF493","",,,"P19484_S114s","false","regulates","TFEB (regulates) ZNF493","S114s","SCION","","","ENSG00000196268.12","","muscle","0.148080183612788"
"8","48780.62222222177","regulates","EE","NFIC (regulates) ENSG00000256694.1","",,,"P08651_S333sS339s","false","regulates","NFIC (regulates) ENSG00000256694.1","S333sS339s","SCION","","","ENSG00000256694.1","","muscle","0.131554916018034"
"9","70532.83677945223","regulates","RE","TFEB (regulates) TRPV1","",,,"P19484_S423s","false","regulates","TFEB (regulates) TRPV1","S423s","SCION","","","ENSG00000196689.13","","muscle","0.105614605083323"
"9","118976.34610389845","regulates","RE","TFEB (regulates) BORCS6","",,,"P19484_S114s","false","regulates","TFEB (regulates) BORCS6","S114s","SCION","","","ENSG00000196544.8","","muscle","0.19819548990941"
"8","520491.6790598","regulates","EE","NFIC (regulates) ENSG00000254363.6","",,,"P08651_S305s","false","regulates","NFIC (regulates) ENSG00000254363.6","S305s","SCION","","","ENSG00000254363.6","","muscle","0.108160489041798"
"8","251466.6763175053","regulates","EE","NFIC (regulates) ENSG00000260249.3","",,,"P08651_S333s","false","regulates","NFIC (regulates) ENSG00000260249.3","S333s","SCION","","","ENSG00000260249.3","","muscle","0.186847880070358"
"8","574114.6780219845","regulates","EE","NFIC (regulates) DIO3OS","",,,"P08651_S333s","false","regulates","NFIC (regulates) DIO3OS","S333s","SCION","","","ENSG00000258498.9","","muscle","0.181898062261778"
"8","117085.94938672871","regulates","EE","NFIC (regulates) ENSG00000260855.1","",,,"P08651_S305s","false","regulates","NFIC (regulates) ENSG00000260855.1","S305s","SCION","","","ENSG00000260855.1","","muscle","0.258519070916872"
"9","74263.58333333951","regulates","RE","TFEB (regulates) CNGA1","",,,"P19484_S114sS122s","false","regulates","TFEB (regulates) CNGA1","S114sS122s","SCION","","","ENSG00000198515.16","","muscle","0.105345831617376"
"8","358986.7831868929","regulates","EE","NFIC (regulates) ENSG00000260597.1","",,,"P08651_S333s","false","regulates","NFIC (regulates) ENSG00000260597.1","S333s","SCION","","","ENSG00000260597.1","","muscle","0.152773428312904"
"11","7976.7666666666755","regulates","EE","MEF2A (regulates) NRROS","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) NRROS","S98sT108t","SCION","","","ENSG00000174004.6","","muscle","0.202109128256967"
"8","181123.83937729133","regulates","EE","NFIC (regulates) ZNF594-DT","",,,"P08651_S305s","false","regulates","NFIC (regulates) ZNF594-DT","S305s","SCION","","","ENSG00000261879.8","","muscle","0.108569862044898"
"9","64555.94437229289","regulates","RE","TFEB (regulates) CCDC160","",,,"P19484_S423s","false","regulates","TFEB (regulates) CCDC160","S423s","SCION","","","ENSG00000203952.9","","muscle","0.103518718954082"
"8","28534.28123249349","regulates","EE","NFIC (regulates) PRSS46P","",,,"P08651_S333sS339s","false","regulates","NFIC (regulates) PRSS46P","S333sS339s","SCION","","","ENSG00000261603.3","","muscle","0.130479341322912"
"8","39189.243650794066","regulates","EE","TFEB (regulates) ITPRIPL1","",,,"P19484_S109sS114s","false","regulates","TFEB (regulates) ITPRIPL1","S109sS114s","SCION","","","ENSG00000198885.10","","muscle","0.126726574367292"
"8","25711.734848483393","regulates","EE","NFIC (regulates) GTF2IP13","",,,"P08651_S305s","false","regulates","NFIC (regulates) GTF2IP13","S305s","SCION","","","ENSG00000272556.3","","muscle","0.112158137349742"
"8","56694.883333332866","regulates","EE","NFIC (regulates) ENSG00000272316.1","",,,"P08651_S333s","false","regulates","NFIC (regulates) ENSG00000272316.1","S333s","SCION","","","ENSG00000272316.1","","muscle","0.118380261559473"
"9","118976.34610389845","regulates","RE","TFEB (regulates) TRIQK","",,,"P19484_S423s","false","regulates","TFEB (regulates) TRIQK","S423s","SCION","","","ENSG00000205133.12","","muscle","0.135354235004841"
"9","97189.1333333216","regulates","RE","TFEB (regulates) PLPP6","",,,"P19484_S423s","false","regulates","TFEB (regulates) PLPP6","S423s","SCION","","","ENSG00000205808.7","","muscle","0.117920853268465"
"8","537161.2000374186","regulates","EE","NFIC (regulates) ENSG00000274265.5","",,,"P08651_S333s","false","regulates","NFIC (regulates) ENSG00000274265.5","S333s","SCION","","","ENSG00000274265.5","","muscle","0.123967757162715"
"8","534747.209523801","regulates","EE","NFIC (regulates) LINC01138","",,,"P08651_S333s","false","regulates","NFIC (regulates) LINC01138","S333s","SCION","","","ENSG00000274020.4","","muscle","0.159783113170042"
"9","66911.58916039592","regulates","RE","TFEB (regulates) ATP6AP1L","",,,"P19484_S114s","false","regulates","TFEB (regulates) ATP6AP1L","S114s","SCION","","","ENSG00000205464.13","","muscle","0.1074915387001"
"8","687092.9602628358","regulates","EE","NFIC (regulates) RNA5-8SN3","",,,"P08651_S333sS339s","false","regulates","NFIC (regulates) RNA5-8SN3","S333sS339s","SCION","","","ENSG00000275215.1","","muscle","0.105772968950044"
"9","86607.51147185583","regulates","RE","TFEB (regulates) ZNF611","",,,"P19484_S114sS122s","false","regulates","TFEB (regulates) ZNF611","S114sS122s","SCION","","","ENSG00000213020.10","","muscle","0.108178335181057"
"8","687092.9602628358","regulates","EE","NFIC (regulates) RNA5-8SN5","",,,"P08651_S333sS339s","false","regulates","NFIC (regulates) RNA5-8SN5","S333sS339s","SCION","","","ENSG00000274917.1","","muscle","0.110914165383998"
"8","119215.42002165476","regulates","EE","NFIC (regulates) FRG1HP","",,,"P08651_S333sS339s","false","regulates","NFIC (regulates) FRG1HP","S333sS339s","SCION","","","ENSG00000276291.6","","muscle","0.161433553193238"
"8","687092.9602628358","regulates","EE","NFIC (regulates) 5_8S_rRNA","",,,"P08651_S333sS339s","false","regulates","NFIC (regulates) 5_8S_rRNA","S333sS339s","SCION","","","ENSG00000277739.1","","muscle","0.118730893242848"
"9","87975.46190476776","regulates","RE","TFEB (regulates) FAAHP1","",,,"P19484_S109sS114s","false","regulates","TFEB (regulates) FAAHP1","S109sS114s","SCION","","","ENSG00000232022.8","","muscle","0.101144486443735"
"8","465505.24410866504","regulates","EE","NFIC (regulates) ENSG00000277758.6","",,,"P08651_S333sS339s","false","regulates","NFIC (regulates) ENSG00000277758.6","S333sS339s","SCION","","","ENSG00000277758.6","","muscle","0.205263657767149"
"8","687092.9602628358","regulates","EE","NFIC (regulates) RNA5-8SN4","",,,"P08651_S333sS339s","false","regulates","NFIC (regulates) RNA5-8SN4","S333sS339s","SCION","","","ENSG00000276700.1","","muscle","0.112814725494013"
"9","79871.46190476877","regulates","RE","TFEB (regulates) ENSG00000228366.1","",,,"P19484_S109sS114s","false","regulates","TFEB (regulates) ENSG00000228366.1","S109sS114s","SCION","","","ENSG00000228366.1","","muscle","0.135560025954982"
"8","687092.9602628358","regulates","EE","NFIC (regulates) RNA5-8SN2","",,,"P08651_S333sS339s","false","regulates","NFIC (regulates) RNA5-8SN2","S333sS339s","SCION","","","ENSG00000278233.1","","muscle","0.106151840224397"
"8","176948.6249999892","regulates","EE","NFIC (regulates) RNA5-8SN1","",,,"P08651_S333sS339s","false","regulates","NFIC (regulates) RNA5-8SN1","S333sS339s","SCION","","","ENSG00000278189.1","","muscle","0.109532849755116"
"9","35504.46003995693","regulates","RE","TFEB (regulates) MCTS1","",,,"P19484_S109sS114s","false","regulates","TFEB (regulates) MCTS1","S109sS114s","SCION","","","ENSG00000232119.8","","muscle","0.164097392198879"
"8","290265.86042502214","regulates","EE","NFIC (regulates) ENSG00000279453.1","",,,"P08651_S333s","false","regulates","NFIC (regulates) ENSG00000279453.1","S333s","SCION","","","ENSG00000279453.1","","muscle","0.15498989348989"
"9","53074.993650793804","regulates","RE","TFEB (regulates) HGH1","",,,"P19484_S109sS114s","false","regulates","TFEB (regulates) HGH1","S109sS114s","SCION","","","ENSG00000235173.7","","muscle","0.132683180832804"
"9","60143.30787546007","regulates","RE","TFEB (regulates) SLC25A25-AS1","",,,"P19484_S109sS114s","false","regulates","TFEB (regulates) SLC25A25-AS1","S109sS114s","SCION","","","ENSG00000234771.3","","muscle","0.105654723353751"
"8","117312.41217850396","regulates","EE","NFIC (regulates) BACE1-AS","",,,"P08651_S305s","false","regulates","NFIC (regulates) BACE1-AS","S305s","SCION","","","ENSG00000278768.3","","muscle","0.11653444370303"
"8","198962.11665892","regulates","EE","NFIC (regulates) GTF2IP12","",,,"P08651_S305s","false","regulates","NFIC (regulates) GTF2IP12","S305s","SCION","","","ENSG00000283050.3","","muscle","0.174196690550989"
"9","33444.52014651806","regulates","RE","TFEB (regulates) COX19","",,,"P19484_S109sS114s","false","regulates","TFEB (regulates) COX19","S109sS114s","SCION","","","ENSG00000240230.6","","muscle","0.104851605603585"
"8","1069286.3740260443","regulates","EE","NFIC (regulates) ENSG00000279833.1","",,,"P08651_S333sS339s","false","regulates","NFIC (regulates) ENSG00000279833.1","S333sS339s","SCION","","","ENSG00000279833.1","","muscle","0.107664366747276"
"9","78126.11666665494","regulates","RE","TFEB (regulates) PKMP1","",,,"P19484_S114sS122s","false","regulates","TFEB (regulates) PKMP1","S114sS122s","SCION","","","ENSG00000236480.1","","muscle","0.142489715692813"
"8","1103754.8833334597","regulates","EE","NFIC (regulates) ENSG00000284391.1","",,,"P08651_S333sS339s","false","regulates","NFIC (regulates) ENSG00000284391.1","S333sS339s","SCION","","","ENSG00000284391.1","","muscle","0.129068842495214"
"9","81446.42857142739","regulates","RE","TFEB (regulates) ALDH1L1-AS2","",,,"P19484_S109sS114s","false","regulates","TFEB (regulates) ALDH1L1-AS2","S109sS114s","SCION","","","ENSG00000246022.4","","muscle","0.170219006323757"
"8","17039.250000000022","regulates","EE","NFIC (regulates) FAM238C","",,,"P08651_S333s","false","regulates","NFIC (regulates) FAM238C","S333s","SCION","","","ENSG00000283709.1","","muscle","0.162552287572379"
"9","56835.43312324826","regulates","RE","TFEB (regulates) PTCHD4","",,,"P19484_S109sS114s","false","regulates","TFEB (regulates) PTCHD4","S109sS114s","SCION","","","ENSG00000244694.8","","muscle","0.122842254333915"
"9","44375.43556808839","regulates","RE","TFEB (regulates) TMEM9B-AS1","",,,"P19484_S114sS122s","false","regulates","TFEB (regulates) TMEM9B-AS1","S114sS122s","SCION","","","ENSG00000254860.7","","muscle","0.102025974738502"
"8","1072872.1333333587","regulates","EE","NFIC (regulates) ENSG00000285796.1","",,,"P08651_S305s","false","regulates","NFIC (regulates) ENSG00000285796.1","S305s","SCION","","","ENSG00000285796.1","","muscle","0.107964044932002"
"8","163337.7495813764","regulates","EE","NFIC (regulates) ENSG00000285108.1","",,,"P08651_S333s","false","regulates","NFIC (regulates) ENSG00000285108.1","S333s","SCION","","","ENSG00000285108.1","","muscle","0.183668514032884"
"8","182961.90432900266","regulates","EE","NFIC (regulates) ENSG00000286162.3","",,,"P08651_S305s","false","regulates","NFIC (regulates) ENSG00000286162.3","S305s","SCION","","","ENSG00000286162.3","","muscle","0.179822212494459"
"9","90884.2166666627","regulates","RE","TFEB (regulates) ENSG00000258768.2","",,,"P19484_S423s","false","regulates","TFEB (regulates) ENSG00000258768.2","S423s","SCION","","","ENSG00000258768.2","","muscle","0.118489395374047"
"11","5345.0","regulates","EE","MEF2A (regulates) SLC35F1","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) SLC35F1","S98sT108t","SCION","","","ENSG00000196376.11","","muscle","0.198453986152576"
"8","1092420.3500001258","regulates","EE","NFIC (regulates) ENSG00000285803.1","",,,"P08651_S333sS339s","false","regulates","NFIC (regulates) ENSG00000285803.1","S333sS339s","SCION","","","ENSG00000285803.1","","muscle","0.117578377770155"
"8","29691.81382783997","regulates","EE","NFIC (regulates) ENSG00000287978.1","",,,"P08651_S333sS339s","false","regulates","NFIC (regulates) ENSG00000287978.1","S333sS339s","SCION","","","ENSG00000287978.1","","muscle","0.115026336371802"
"9","44825.75555555142","regulates","RE","TFEB (regulates) ADAM20P1","",,,"P19484_S109sS114s","false","regulates","TFEB (regulates) ADAM20P1","S109sS114s","SCION","","","ENSG00000259158.4","","muscle","0.131692316901894"
"8","1171385.999999921","regulates","EE","NFIC (regulates) ENSG00000286367.1","",,,"P08651_S333s","false","regulates","NFIC (regulates) ENSG00000286367.1","S333s","SCION","","","ENSG00000286367.1","","muscle","0.168802362231789"
"8","548203.8272005749","regulates","EE","NFIC (regulates) ENSG00000288884.1","",,,"P08651_S333sS339s","false","regulates","NFIC (regulates) ENSG00000288884.1","S333sS339s","SCION","","","ENSG00000288884.1","","muscle","0.100664715014911"
"9","49445.5976190519","regulates","RE","TFEB (regulates) ENSG00000262691.1","",,,"P19484_S423s","false","regulates","TFEB (regulates) ENSG00000262691.1","S423s","SCION","","","ENSG00000262691.1","","muscle","0.105495781019278"
"8","521574.83095236804","regulates","EE","NFIC (regulates) DUS4L-BCAP29","",,,"P08651_S333s","false","regulates","NFIC (regulates) DUS4L-BCAP29","S333s","SCION","","","ENSG00000288558.2","","muscle","0.135481426984005"
"10","78223.21862027195","regulates","EE","TFEB (regulates) ENSG00000260279.4","",,,"P19484_S114s","false","regulates","TFEB (regulates) ENSG00000260279.4","S114s","SCION","","","ENSG00000260279.4","","muscle","0.178017294149194"
"10","1092378.2206350209","regulates","EE","NFIC (regulates) KIAA0100","",,,"P08651_S339s","false","regulates","NFIC (regulates) KIAA0100","S339s","SCION","","","ENSG00000007202.15","","muscle","0.286701155449954"
"9","66496.82142857516","regulates","RE","TFEB (regulates) HSD17B1-AS1","",,,"P19484_S109sS114s","false","regulates","TFEB (regulates) HSD17B1-AS1","S109sS114s","SCION","","","ENSG00000266962.2","","muscle","0.113638685410485"
"9","50825.94517704854","regulates","RE","TFEB (regulates) ZNF407-AS1","",,,"P19484_S114s","false","regulates","TFEB (regulates) ZNF407-AS1","S114s","SCION","","","ENSG00000264247.2","","muscle","0.152187074938394"
"10","1171721.999999921","regulates","EE","NFIC (regulates) FAM214B","",,,"P08651_S339s","false","regulates","NFIC (regulates) FAM214B","S339s","SCION","","","ENSG00000005238.20","","muscle","0.232434057349256"
"10","84107.1178571428","regulates","EE","NFIC (regulates) LARS2","",,,"P08651_S339s","false","regulates","NFIC (regulates) LARS2","S339s","SCION","","","ENSG00000011376.12","","muscle","0.279798967687794"
"10","1047605.2071428575","regulates","EE","NFIC (regulates) METTL13","",,,"P08651_S339s","false","regulates","NFIC (regulates) METTL13","S339s","SCION","","","ENSG00000010165.20","","muscle","0.211299539201802"
"9","75279.6500000025","regulates","RE","TFEB (regulates) ENSG00000267127.7","",,,"P19484_S423s","false","regulates","TFEB (regulates) ENSG00000267127.7","S423s","SCION","","","ENSG00000267127.7","","muscle","0.136887609102233"
"9","84643.50000000023","regulates","RE","TFEB (regulates) KCNQ1OT1","",,,"P19484_S109sS114s","false","regulates","TFEB (regulates) KCNQ1OT1","S109sS114s","SCION","","","ENSG00000269821.1","","muscle","0.155130961659833"
"10","63632.31428571732","regulates","EE","NFIC (regulates) AGA","",,,"P08651_S339s","false","regulates","NFIC (regulates) AGA","S339s","SCION","","","ENSG00000038002.9","","muscle","0.142246256855543"
"10","478273.8240758971","regulates","EE","NFIC (regulates) BRD9","",,,"P08651_S339s","false","regulates","NFIC (regulates) BRD9","S339s","SCION","","","ENSG00000028310.18","","muscle","0.203464631584963"
"10","7522.234085213314","regulates","EE","NFIC (regulates) DTNBP1","",,,"P08651_S339s","false","regulates","NFIC (regulates) DTNBP1","S339s","SCION","","","ENSG00000047579.20","","muscle","0.200631605079417"
"9","78126.11666665494","regulates","RE","TFEB (regulates) ENSG00000271254.7","",,,"P19484_S109sS114s","false","regulates","TFEB (regulates) ENSG00000271254.7","S109sS114s","SCION","","","ENSG00000271254.7","","muscle","0.111520229408961"
